	UDDSE	YVRLR	OLHXN	JXCLP	FJFHS	XOOBN	AXYTF
AAASKYLDR	0.5832876734497765	0.8696957799474119	0.3371841061638269	0.7774221143992565	0.5776889123137651	0.06157767167187089	0.3912669716790599
DYUBIRUER	0.2644326183885216	0.6537200265629539	0.3692350206182382	0.4154354261682517	0.08536335942566287	0.3915740812812444	0.36659668685227487
GTVXFFTSR	0.4104162329575445	0.9574585438803608	0.580190398056168	0.3163546636672918	0.03540731813050357	0.3463744670209833	0.9329713087665088
MPILUWTKU	0.7938600429811588	0.6370384794097663	0.8596225872700078	0.864524322782167	0.11254494619329103	0.6917661009950281	0.9893445219569427
BXLOSXZBD	0.4817776955566432	0.2718748709198211	0.2681165133000767	0.7850092214603371	0.11954689558395404	0.22112184314586147	0.5733989593628037
ZNUSAPEMV	0.6042714328797024	0.6417017719111306	0.13265414947508647	0.6018219682451128	0.36920366889181533	0.31654615915270257	0.0022839498041949957
KSMJCSFMM	0.599883704030226	0.00029581921052479476	0.6919509386831317	0.3929754138482294	0.1398084554660135	0.20144289377040214	0.42001783972817386
QEWEVQWNP	0.2607600563223893	0.7252205475339205	0.21514686160866736	0.5883764472020194	0.6117773428818026	0.2167436900158256	0.08336862764140085
KONMCBVOY	0.5686537817370241	0.18218287564048286	0.5078106213605164	0.26997831118398186	0.9258074560853692	0.04635975038139961	0.782302254040261
PMAZCXIPY	0.2927529521622608	0.23751827106033407	0.58694463365938	0.07381427030146503	0.9982979076890255	0.3006700575318755	0.8934741729287922
RWZKNXXLG	0.8869833626828119	0.6394042886573866	0.18524522078570616	0.3867158112536939	0.0369156470212354	0.9679987576260588	0.7632210679248527
ARARTETGK	0.5600963018318862	0.603171165815042	0.5749822932815428	0.41806709828358424	0.7654649111905109	0.46588718787886907	0.02654244182277332
RXNAMIEOD	0.3474324237296613	0.9995048839922249	0.5100496102391175	0.6552098322327087	0.6181224256689194	0.5322485098640344	0.07425740395536329
SACSCUYCP	0.8980087183581356	0.840287850030502	0.7160221150372132	0.6126835587332192	0.4495680079783908	0.906096100514169	0.8176835158130128
IOSIJZWXG	0.30095093211960644	0.9794442708473238	0.9774287203151243	0.8602227916515016	0.7535134736381158	0.475362986942926	0.4261899096011489
NWGZQVHUL	0.8195277760977353	0.8231101498585451	0.9018510958752431	0.45779997728556643	0.8773749969573648	0.01790465330674873	0.8419213278086237
